Year Local,Month Local,Day Local,Hour Local,Year UTC,Month UTC,Day UTC,Hour UTC,Cavok Reported,Cloud Ceiling (m),Cloud Cover Fraction,Cloud Cover Fraction 1,Cloud Cover Fraction 2,Cloud Cover Fraction 3,Cloud Cover Fraction 4,Cloud Cover Fraction 5,Cloud Cover Fraction 6,Cloud Height (m) 1,Cloud Height (m) 2,Cloud Height (m) 3,Cloud Height (m) 4,Cloud Height (m) 5,Cloud Height (m) 6,Dew Point (C),Humidity Fraction,Precipitation One Hour (mm),Pressure Altimeter (mbar),Pressure Sea Level (mbar),Pressure Station (mbar),Snow Depth (cm),Temperature (C),Visibility (km),Weather Code 1,Weather Code 1/ Description,Weather Code 2,Weather Code 2/ Description,Weather Code 3,Weather Code 3/ Description,Weather Code 4,Weather Code 4/ Description,Weather Code 5,Weather Code 5/ Description,Weather Code 6,Weather Code 6/ Description,Weather Code Most Severe / Icon Code,Weather Code Most Severe,Weather Code Most Severe / Description,Wind Direction (degrees),Wind Gust (m/s),Wind Speed (m/s)
2012,1,1,0,2012,1,1,5,0,,0,0,,,,,,,,,,,,1.7,0.8554,0,1010.2,1010.6,980.3,,3.9,16.093,,,,,,,,,,,,,0,,,140,,8.2
2012,1,1,1,2012,1,1,6,0,,0,0,,,,,,,,,,,,1.7,0.8554,0,1009.8,1010.3,980,,3.9,16.093,,,,,,,,,,,,,0,,,170,,6.2
2012,1,1,2,2012,1,1,7,0,,0.25,0.25,,,,,,1524,,,,,,1.1,0.7911,0,1007.1,1007.7,977.3,,4.4,16.093,,,,,,,,,,,,,0,,,160,,6.7
2012,1,1,3,2012,1,1,8,0,1402,1,1,,,,,,1402,,,,,,1.7,0.7597,0,1005.4,1005.9,975.7,,5.6,16.093,,,,,,,,,,,,,0,,,160,9.8,6.7
2012,1,1,4,2012,1,1,9,0,,0.5,0.5,,,,,,2438,,,,,,1.7,0.7597,0,1004.1,1004.7,974.4,,5.6,16.093,,,,,,,,,,,,,0,,,160,,7.2
2012,1,1,5,2012,1,1,10,0,,0,0,,,,,,,,,,,,1.7,0.7597,0,1002.7,1003.1,973,,5.6,16.093,,,,,,,,,,,,,0,,,170,,5.1
2012,1,1,6,2012,1,1,11,0,,0,0,,,,,,,,,,,,2.2,0.7297,0,1001.4,1001.8,971.7,,6.7,16.093,,,,,,,,,,,,,0,,,180,9.8,5.7
2012,1,1,7,2012,1,1,12,0,3353,0.9,0.9,,,,,,3353,,,,,,2.8,0.7359,0,1001.4,1001.6,971.7,,7.2,16.093,,,,,,,,,,,,,0,,,190,,7.2
2012,1,1,8,2012,1,1,13,0,762,0.9,0.9,,,,,,762,,,,,,3.3,0.7318,0,1001,1001.4,971.4,,7.8,16.093,,,,,,,,,,,,,0,,,220,13.4,8.2
2012,1,1,9,2012,1,1,14,0,549,1,0.9,1,,,,,549,762,,,,,2.2,0.7605,0,1002,1002.4,972.4,,6.1,16.093,,,,,,,,,,,,,0,,,250,13.4,9.8
2012,1,1,10,2012,1,1,15,0,549,1,1,,,,,,549,,,,,,2.2,0.7605,0,1002.7,1003.1,973,,6.1,16.093,,,,,,,,,,,,,0,,,250,13.4,8.2
