Year Local,Month Local,Day Local,Hour Local,Year UTC,Month UTC,Day UTC,Hour UTC,Cavok Reported,Cloud Ceiling (m),Cloud Cover Fraction,Cloud Cover Fraction 1,Cloud Cover Fraction 2,Cloud Cover Fraction 3,Cloud Cover Fraction 4,Cloud Cover Fraction 5,Cloud Cover Fraction 6,Cloud Height (m) 1,Cloud Height (m) 2,Cloud Height (m) 3,Cloud Height (m) 4,Cloud Height (m) 5,Cloud Height (m) 6,Dew Point (C),Humidity Fraction,Precipitation One Hour (mm),Pressure Altimeter (mbar),Pressure Sea Level (mbar),Pressure Station (mbar),Snow Depth (cm),Temperature (C),Visibility (km),Weather Code 1,Weather Code 1/ Description,Weather Code 2,Weather Code 2/ Description,Weather Code 3,Weather Code 3/ Description,Weather Code 4,Weather Code 4/ Description,Weather Code 5,Weather Code 5/ Description,Weather Code 6,Weather Code 6/ Description,Weather Code Most Severe / Icon Code,Weather Code Most Severe,Weather Code Most Severe / Description,Wind Direction (degrees),Wind Gust (m/s),Wind Speed (m/s)
2012.0,1.0,1.0,0.0,2012.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2012.0,1.0,1.0,1.0,2012.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2012.0,1.0,1.0,2.0,2012.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2012.0,1.0,1.0,3.0,2012.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2012.0,1.0,1.0,4.0,2012.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2012.0,1.0,1.0,5.0,2012.0,1.0,1.0,11.0,0,,0.5,0.5,,,,,,4572,,,,,,,,,1000,,978.8,,,16.093,,,,,,,,,,,,,0,,,210,11.8,7.7
2012.0,1.0,1.0,6.0,2012.0,1.0,1.0,12.0,0,671,1,0.9,1,,,,,671,4572,,,,,,,,1000.7,,979.4,,,16.093,,,,,,,,,,,,,0,,,240,12.9,7.7
2012.0,1.0,1.0,7.0,2012.0,1.0,1.0,13.0,0,610,1,1,,,,,,610,,,,,,,,,1001.7,,980.4,,,16.093,,,,,,,,,,,,,0,,,230,12.9,7.2
2012.0,1.0,1.0,8.0,2012.0,1.0,1.0,14.0,0,549,1,1,,,,,,549,,,,,,,,,1003.4,,982.1,,,11.265,961,"light rain",,,,,,,,,,,2,961,"light rain",280,13.9,8.8
2012.0,1.0,1.0,9.0,2012.0,1.0,1.0,15.0,0,488,1,1,,,,,,488,,,,,,,,,1006.8,,985.4,,,11.265,961,"light rain",,,,,,,,,,,2,961,"light rain",280,16,10.3
2012.0,1.0,1.0,10.0,2012.0,1.0,1.0,16.0,0,549,1,1,,,,,,549,,,,,,,,,1008.5,,987.1,,,16.093,,,,,,,,,,,,,0,,,280,15.4,10.3
2012.0,1.0,1.0,11.0,2012.0,1.0,1.0,17.0,0,488,0.9,0.9,,,,,,488,,,,,,,,,1009.1,,987.8,,,32.187,,,,,,,,,,,,,0,,,280,20.6,12.9
2012.0,1.0,1.0,12.0,2012.0,1.0,1.0,18.0,0,,0.5,0.5,,,,,,914,,,,,,,,,1009.8,,988.4,,,32.187,,,,,,,,,,,,,0,,,270,23.2,15.4
2012.0,1.0,1.0,13.0,2012.0,1.0,1.0,19.0,0,1006,1,1,,,,,,1006,,,,,,,,,1010.8,,989.4,,,32.187,,,,,,,,,,,,,0,,,280,20.6,12.9
2012.0,1.0,1.0,14.0,2012.0,1.0,1.0,20.0,0,1280,1,0.9,1,,,,,1280,1676,,,,,,,,1012.5,,991.1,,,24.14,,,,,,,,,,,,,0,,,280,21.6,12.9
2012.0,1.0,1.0,15.0,2012.0,1.0,1.0,21.0,0,1981,0.9,0.5,0.9,,,,,335,1981,,,,,,,,1013.9,,992.4,,,16.093,,,,,,,,,,,,,0,,,280,16.5,10.3
2012.0,1.0,1.0,16.0,2012.0,1.0,1.0,22.0,0,2286,1,0.5,1,,,,,1250,2286,,,,,,,,1015.2,,993.8,,,16.093,,,,,,,,,,,,,0,,,270,21.6,12.9
2012.0,1.0,1.0,17.0,2012.0,1.0,1.0,23.0,0,2134,1,0.5,1,,,,,1219,2134,,,,,,,,1016.9,,995.4,,,16.093,,,,,,,,,,,,,0,,,270,18.5,11.3
2012.0,1.0,1.0,18.0,2012.0,1.0,2.0,0.0,0,1067,1,0.5,1,,,,,488,1067,,,,,,,,1017.6,,996.1,,,16.093,971,"light snow",,,,,,,,,,,7,971,"light snow",270,20.6,12.9
2012.0,1.0,1.0,19.0,2012.0,1.0,2.0,1.0,0,1524,1,0.5,1,,,,,1036,1524,,,,,,,,1018.3,,996.7,,,16.093,971,"light snow",,,,,,,,,,,7,971,"light snow",280,17,11.3
2012.0,1.0,1.0,20.0,2012.0,1.0,2.0,2.0,0,914,1,0.9,1,,,,,914,1524,,,,,,,,1018.3,,996.7,,,16.093,971,"light snow",,,,,,,,,,,7,971,"light snow",280,16.5,11.3
2012.0,1.0,1.0,21.0,2012.0,1.0,2.0,3.0,0,1067,1,0.9,1,,,,,1067,1676,,,,,,,,1017.9,,996.4,,,16.093,971,"light snow",,,,,,,,,,,7,971,"light snow",280,18,12.9
2012.0,1.0,1.0,22.0,2012.0,1.0,2.0,4.0,0,1006,0.9,0.9,0.9,,,,,1006,1676,,,,,,,,1017.9,,996.4,,,16.093,,,,,,,,,,,,,0,,,270,18.5,12.9
2012.0,1.0,1.0,23.0,2012.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2012.0,1.0,2.0,0.0,2012.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2012.0,1.0,2.0,1.0,2012.0,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2012.0,1.0,2.0,2.0,2012.0,1.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2012.0,1.0,2.0,3.0,2012.0,1.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2012.0,1.0,2.0,4.0,2012.0,1.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2012.0,1.0,2.0,5.0,2012.0,1.0,2.0,11.0,0,366,1,0.5,0.9,1,,,,183,366,1433,,,,,,,1018.3,,996.7,,,4.828,971,"light snow",,,,,,,,,,,7,971,"light snow",280,,9.3
2012.0,1.0,2.0,6.0,2012.0,1.0,2.0,12.0,0,823,1,0.5,0.9,1,,,,549,823,1829,,,,,,,1019,,997.4,,,8.047,971,"light snow",,,,,,,,,,,7,971,"light snow",300,16,10.3
2012.0,1.0,2.0,7.0,2012.0,1.0,2.0,13.0,0,1341,1,0.5,0.9,1,,,,762,1341,1524,,,,,,,1019.3,,997.7,,,16.093,,,,,,,,,,,,,0,,,300,15.4,10.3
2012.0,1.0,2.0,8.0,2012.0,1.0,2.0,14.0,0,914,1,0.5,0.9,1,,,,518,914,1097,,,,,,,1020,,998.4,,,6.437,971,"light snow",,,,,,,,,,,7,971,"light snow",280,14.9,8.8
2012.0,1.0,2.0,9.0,2012.0,1.0,2.0,15.0,0,427,1,0.5,0.9,1,,,,274,427,671,,,,,,,1021,,999.4,,,11.265,971,"light snow",,,,,,,,,,,7,971,"light snow",300,13.9,7.7
2012.0,1.0,2.0,10.0,2012.0,1.0,2.0,16.0,0,914,1,0.5,0.9,1,,,,671,914,1250,,,,,,,1021.7,,1000.1,,,6.437,971,"light snow",,,,,,,,,,,7,971,"light snow",300,16.5,10.3
