Year Local,Month Local,Day Local,Hour Local,Year UTC,Month UTC,Day UTC,Hour UTC,Cavok Reported,Cloud Ceiling (m),Cloud Cover Fraction,Cloud Cover Fraction 1,Cloud Cover Fraction 2,Cloud Cover Fraction 3,Cloud Cover Fraction 4,Cloud Cover Fraction 5,Cloud Cover Fraction 6,Cloud Height (m) 1,Cloud Height (m) 2,Cloud Height (m) 3,Cloud Height (m) 4,Cloud Height (m) 5,Cloud Height (m) 6,Dew Point (C),Humidity Fraction,Precipitation One Hour (mm),Pressure Altimeter (mbar),Pressure Sea Level (mbar),Pressure Station (mbar),Snow Depth (cm),Temperature (C),Visibility (km),Weather Code 1,Weather Code 1/ Description,Weather Code 2,Weather Code 2/ Description,Weather Code 3,Weather Code 3/ Description,Weather Code 4,Weather Code 4/ Description,Weather Code 5,Weather Code 5/ Description,Weather Code 6,Weather Code 6/ Description,Weather Code Most Severe / Icon Code,Weather Code Most Severe,Weather Code Most Severe / Description,Wind Direction (degrees),Wind Gust (m/s),Wind Speed (m/s)
2013.0,1.0,1.0,0.0,2013.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,1.0,1.0,2013.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,1.0,2.0,2013.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,1.0,3.0,2013.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,1.0,4.0,2013.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,1.0,5.0,2013.0,1.0,1.0,11.0,0,457,1,0.9,1,,,,,457,2743,,,,,,,,1020,,998.4,,,16.093,,,,,,,,,,,,,0,,,300,8.2,4.1
2013.0,1.0,1.0,6.0,2013.0,1.0,1.0,12.0,0,7620,0.9,0.5,0.9,,,,,2743,7620,,,,,,,,1021.3,,999.7,,,16.093,,,,,,,,,,,,,0,,,280,,4.1
2013.0,1.0,1.0,7.0,2013.0,1.0,1.0,13.0,0,,0.5,0.25,0.5,,,,,2743,7620,,,,,,,,1021.7,,1000.1,,,24.14,,,,,,,,,,,,,0,,,280,,4.1
2013.0,1.0,1.0,8.0,2013.0,1.0,1.0,14.0,0,,0.5,0.25,0.5,,,,,2743,7620,,,,,,,,1022,,1000.4,,,32.187,,,,,,,,,,,,,0,,,290,,4.1
2013.0,1.0,1.0,9.0,2013.0,1.0,1.0,15.0,0,,0.5,0.25,0.5,,,,,2743,7620,,,,,,,,1021.7,,1000.1,,,32.187,,,,,,,,,,,,,0,,,320,,6.2
2013.0,1.0,1.0,10.0,2013.0,1.0,1.0,16.0,0,335,0.9,0.9,,,,,,335,,,,,,,,,1022,,1000.4,,,24.14,,,,,,,,,,,,,0,,,330,10.3,5.1
2013.0,1.0,1.0,11.0,2013.0,1.0,1.0,17.0,0,579,0.9,0.9,,,,,,579,,,,,,,,,1022.7,,1001.1,,,24.14,,,,,,,,,,,,,0,,,330,10.3,5.1
2013.0,1.0,1.0,12.0,2013.0,1.0,1.0,18.0,0,640,0.9,0.9,,,,,,640,,,,,,,,,1022,,1000.4,,,24.14,,,,,,,,,,,,,0,,,310,10.3,5.1
2013.0,1.0,1.0,13.0,2013.0,1.0,1.0,19.0,0,762,0.9,0.9,,,,,,762,,,,,,,,,1021.7,,1000.1,,,32.187,,,,,,,,,,,,,0,,,300,,6.2
2013.0,1.0,1.0,14.0,2013.0,1.0,1.0,20.0,0,,0.5,0.5,,,,,,610,,,,,,,,,1021,,999.4,,,32.187,,,,,,,,,,,,,0,,,340,,4.1
2013.0,1.0,1.0,15.0,2013.0,1.0,1.0,21.0,0,,0.5,0.5,,,,,,610,,,,,,,,,1021,,999.4,,,32.187,,,,,,,,,,,,,0,,,330,,3.6
2013.0,1.0,1.0,16.0,2013.0,1.0,1.0,22.0,0,,0.25,0.25,,,,,,610,,,,,,,,,1021,,999.4,,,32.187,,,,,,,,,,,,,0,,,350,,3.1
2013.0,1.0,1.0,17.0,2013.0,1.0,1.0,23.0,0,,0.25,0.25,,,,,,762,,,,,,,,,1021,,999.4,,,32.187,,,,,,,,,,,,,0,,,340,,2.6
2013.0,1.0,1.0,18.0,2013.0,1.0,2.0,0.0,0,,0.25,0.25,,,,,,762,,,,,,,,,1021.3,,999.7,,,32.187,,,,,,,,,,,,,0,,,280,,2.1
2013.0,1.0,1.0,19.0,2013.0,1.0,2.0,1.0,0,,0,0,,,,,,,,,,,,,,,1022,,1000.4,,,32.187,,,,,,,,,,,,,0,,,280,,4.1
2013.0,1.0,1.0,20.0,2013.0,1.0,2.0,2.0,0,,0,0,,,,,,,,,,,,,,,1022.4,,1000.7,,,32.187,,,,,,,,,,,,,0,,,280,,3.6
2013.0,1.0,1.0,21.0,2013.0,1.0,2.0,3.0,0,,0,0,,,,,,,,,,,,,,,1022,,1000.4,,,32.187,,,,,,,,,,,,,0,,,280,,3.6
2013.0,1.0,1.0,22.0,2013.0,1.0,2.0,4.0,0,,0,0,,,,,,,,,,,,,,,1021.7,,1000.1,,,32.187,,,,,,,,,,,,,0,,,280,,2.6
2013.0,1.0,1.0,23.0,2013.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,2.0,0.0,2013.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,2.0,1.0,2013.0,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,2.0,2.0,2013.0,1.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,2.0,3.0,2013.0,1.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,2.0,4.0,2013.0,1.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,2.0,5.0,2013.0,1.0,2.0,11.0,0,,0.5,0.5,,,,,,914,,,,,,,,,1021.7,,1000.1,,,32.187,,,,,,,,,,,,,0,,,250,,2.1
2013.0,1.0,2.0,6.0,2013.0,1.0,2.0,12.0,0,853,0.9,0.9,,,,,,853,,,,,,-15,0.6671,,1022.4,,1000.7,,-10,32.187,,,,,,,,,,,,,0,,,240,,2.6
