Year Local,Month Local,Day Local,Hour Local,Year UTC,Month UTC,Day UTC,Hour UTC,Cavok Reported,Cloud Ceiling (m),Cloud Cover Fraction,Cloud Cover Fraction 1,Cloud Cover Fraction 2,Cloud Cover Fraction 3,Cloud Cover Fraction 4,Cloud Cover Fraction 5,Cloud Cover Fraction 6,Cloud Height (m) 1,Cloud Height (m) 2,Cloud Height (m) 3,Cloud Height (m) 4,Cloud Height (m) 5,Cloud Height (m) 6,Dew Point (C),Humidity Fraction,Precipitation One Hour (mm),Pressure Altimeter (mbar),Pressure Sea Level (mbar),Pressure Station (mbar),Snow Depth (cm),Temperature (C),Visibility (km),Weather Code 1,Weather Code 1/ Description,Weather Code 2,Weather Code 2/ Description,Weather Code 3,Weather Code 3/ Description,Weather Code 4,Weather Code 4/ Description,Weather Code 5,Weather Code 5/ Description,Weather Code 6,Weather Code 6/ Description,Weather Code Most Severe / Icon Code,Weather Code Most Severe,Weather Code Most Severe / Description,Wind Direction (degrees),Wind Gust (m/s),Wind Speed (m/s)
2014.0,1.0,1.0,0.0,2014.0,1.0,1.0,5.0,0,640,1,1,,,,,,640,,,,,,-11.1,0.8401,0.3,1025.7,1027.2,995.5,,-8.9,2.012,,,,,,,,,,,,,0,,,,,0
2014.0,1.0,1.0,1.0,2014.0,1.0,1.0,6.0,0,762,1,1,1,,,,,762,2134,,,,,-10.6,0.8743,0.3,1024.7,1026.2,994.5,,-8.9,2.012,,,,,,,,,,,,,0,,,50,,2.1
2014.0,1.0,1.0,2.0,2014.0,1.0,1.0,7.0,0,884,1,1,,,,,,884,,,,,,-10.6,0.8342,0.3,1024.7,1026,994.5,,-8.3,2.816,,,,,,,,,,,,,0,,,100,,1.5
2014.0,1.0,1.0,3.0,2014.0,1.0,1.0,8.0,0,610,1,1,,,,,,610,,,,,,-10.6,0.8342,0.3,1024.7,1026.3,994.5,,-8.3,1.609,,,,,,,,,,,,,0,,,90,,1.5
2014.0,1.0,1.0,4.0,2014.0,1.0,1.0,9.0,0,1280,1,1,1,,,,,1280,2896,,,,,-10.6,0.8024,0.3,1024.7,1026.3,994.5,,-7.8,4.023,905,"haze",,,,,,,,,,,16,905,"haze",90,,2.1
2014.0,1.0,1.0,5.0,2014.0,1.0,1.0,10.0,0,1981,1,0.9,0.9,1,,,,1981,2438,2896,,,,-10.6,0.8024,0,1024,1025.6,993.9,,-7.8,9.656,905,"haze",,,,,,,,,,,16,905,"haze",80,,2.6
2014.0,1.0,1.0,6.0,2014.0,1.0,1.0,11.0,0,701,1,1,1,,,,,701,2134,,,,,-10,0.8415,0,1024,1025.6,993.9,,-7.8,1.609,,,,,,,,,,,,,0,,,60,,2.6
2014.0,1.0,1.0,7.0,2014.0,1.0,1.0,12.0,0,2134,1,0.5,1,,,,,1524,2134,,,,,-10.6,0.8024,0,1024.7,1026,994.5,,-7.8,4.023,,,,,,,,,,,,,0,,,60,,3.1
2014.0,1.0,1.0,8.0,2014.0,1.0,1.0,13.0,0,1524,1,0.9,1,,,,,1524,2896,,,,,-10.6,0.8024,0,1024.4,1025.7,994.2,,-7.8,11.265,,,,,,,,,,,,,0,,,70,,4.1
2014.0,1.0,1.0,9.0,2014.0,1.0,1.0,14.0,0,2134,1,0.25,0.5,1,,,,853,1036,2134,,,,-10.6,0.8024,0,1024.7,1026.1,994.5,,-7.8,12.875,,,,,,,,,,,,,0,,,70,,4.1
2014.0,1.0,1.0,10.0,2014.0,1.0,1.0,15.0,0,853,1,1,,,,,,853,,,,,,-10.6,0.7659,0,1024.7,1026.2,994.5,,-7.2,12.875,,,,,,,,,,,,,0,,,70,,5.1
2014.0,1.0,1.0,11.0,2014.0,1.0,1.0,16.0,0,792,1,0.25,1,,,,,427,792,,,,,-10.6,0.737,0,1025.1,1026.4,994.8,,-6.7,12.875,,,,,,,,,,,,,0,,,70,,5.1
2014.0,1.0,1.0,12.0,2014.0,1.0,1.0,17.0,0,732,1,0.5,1,,,,,488,732,,,,,-10.6,0.737,0,1024.4,1025.7,994.2,,-6.7,12.875,,,,,,,,,,,,,0,,,60,,6.2
2014.0,1.0,1.0,13.0,2014.0,1.0,1.0,18.0,0,488,1,1,,,,,,488,,,,,,-10.6,0.7659,0,1023.4,1024.6,993.2,,-7.2,11.265,,,,,,,,,,,,,0,,,60,,4.6
2014.0,1.0,1.0,14.0,2014.0,1.0,1.0,19.0,0,488,1,1,,,,,,488,,,,,,-10.6,0.737,0,1022.7,1024.1,992.5,,-6.7,12.875,,,,,,,,,,,,,0,,,70,8.8,6.2
2014.0,1.0,1.0,15.0,2014.0,1.0,1.0,20.0,0,549,1,1,,,,,,549,,,,,,-11.1,0.7082,0,1022.4,1023.7,992.2,,-6.7,16.093,,,,,,,,,,,,,0,,,80,,6.2
