Year Local,Month Local,Day Local,Hour Local,Year UTC,Month UTC,Day UTC,Hour UTC,Cavok Reported,Cloud Ceiling (m),Cloud Cover Fraction,Cloud Cover Fraction 1,Cloud Cover Fraction 2,Cloud Cover Fraction 3,Cloud Cover Fraction 4,Cloud Cover Fraction 5,Cloud Cover Fraction 6,Cloud Height (m) 1,Cloud Height (m) 2,Cloud Height (m) 3,Cloud Height (m) 4,Cloud Height (m) 5,Cloud Height (m) 6,Dew Point (C),Humidity Fraction,Precipitation One Hour (mm),Pressure Altimeter (mbar),Pressure Sea Level (mbar),Pressure Station (mbar),Snow Depth (cm),Temperature (C),Visibility (km),Weather Code 1,Weather Code 1/ Description,Weather Code 2,Weather Code 2/ Description,Weather Code 3,Weather Code 3/ Description,Weather Code 4,Weather Code 4/ Description,Weather Code 5,Weather Code 5/ Description,Weather Code 6,Weather Code 6/ Description,Weather Code Most Severe / Icon Code,Weather Code Most Severe,Weather Code Most Severe / Description,Wind Direction (degrees),Wind Gust (m/s),Wind Speed (m/s)
2013.0,1.0,1.0,0.0,2013.0,1.0,1.0,6.0,0,2134,1,0.5,1,,,,,610,2134,,,,,-6.1,0.7796,0,1018.6,1019.5,990.6,,-2.8,14.484,,,,,,,,,,,,,0,,,340,,4.1
2013.0,1.0,1.0,1.0,2013.0,1.0,1.0,7.0,0,2134,1,1,,,,,,2134,,,,,,-6.7,0.7445,0,1018.3,1019.1,990.2,,-2.8,16.093,,,,,,,,,,,,,0,,,330,,2.6
2013.0,1.0,1.0,2.0,2013.0,1.0,1.0,8.0,0,579,1,0.5,0.9,1,,,,427,579,2286,,,,-6.1,0.8092,0,1018.6,1019.6,990.6,,-3.3,16.093,,,,,,,,,,,,,0,,,330,,4.6
2013.0,1.0,1.0,3.0,2013.0,1.0,1.0,9.0,0,427,1,0.9,1,1,,,,427,671,2438,,,,-6.1,0.8092,0,1019,1019.8,990.9,,-3.3,14.484,,,,,,,,,,,,,0,,,300,,3.6
2013.0,1.0,1.0,4.0,2013.0,1.0,1.0,10.0,0,640,1,0.25,0.9,1,,,,427,640,2743,,,,-6.1,0.8464,0,1019,1019.6,990.9,,-3.9,16.093,,,,,,,,,,,,,0,,,310,,2.6
2013.0,1.0,1.0,5.0,2013.0,1.0,1.0,11.0,0,762,1,0.9,1,,,,,762,2438,,,,,-6.1,0.8092,0,1018.6,1019.7,990.6,,-3.3,16.093,,,,,,,,,,,,,0,,,310,,3.1
2013.0,1.0,1.0,6.0,2013.0,1.0,1.0,12.0,0,823,1,0.9,1,0.9,,,,823,2591,2591,,,,-6.7,0.7728,0,1020.3,1021.2,992.2,,-3.3,16.093,,,,,,,,,,,,,0,,,310,7.7,4.1
2013.0,1.0,1.0,7.0,2013.0,1.0,1.0,13.0,0,366,1,0.9,1,0.9,,,,366,762,2591,,,,-6.7,0.8393,0,1020.3,1021.3,992.2,,-4.4,16.093,,,,,,,,,,,,,0,,,290,,4.6
2013.0,1.0,1.0,8.0,2013.0,1.0,1.0,14.0,0,305,0.9,0.9,0.9,,,,,305,488,,,,,-8.3,0.8121,0,1020.7,1021.8,992.6,,-5.6,16.093,,,,,,,,,,,,,0,,,280,,4.6
2013.0,1.0,1.0,9.0,2013.0,1.0,1.0,15.0,0,305,1,0.9,1,,,,,305,549,,,,,-6.7,0.8393,0,1020.3,1021.2,992.2,,-4.4,16.093,,,,,,,,,,,,,0,,,310,8.2,4.6
2013.0,1.0,1.0,10.0,2013.0,1.0,1.0,16.0,0,488,1,0.9,1,,,,,488,762,,,,,-6.1,0.7796,0,1021,1022.1,992.9,,-2.8,16.093,,,,,,,,,,,,,0,,,320,,3.6
2013.0,1.0,1.0,11.0,2013.0,1.0,1.0,17.0,0,701,1,0.9,1,,,,,701,945,,,,,-6.7,0.7445,0,1021.7,1022.4,993.6,,-2.8,16.093,,,,,,,,,,,,,0,,,300,,4.1
2013.0,1.0,1.0,12.0,2013.0,1.0,1.0,18.0,0,1006,1,0.25,1,,,,,701,1006,,,,,-7.2,0.6851,0,1021,1021.9,992.9,,-2.2,16.093,,,,,,,,,,,,,0,,,300,,5.7
2013.0,1.0,1.0,13.0,2013.0,1.0,1.0,19.0,0,,0,0,,,,,,,,,,,,-8.9,0.6002,0,1020.3,1021.3,992.2,,-2.2,16.093,,,,,,,,,,,,,0,,,320,,3.6
2013.0,1.0,1.0,14.0,2013.0,1.0,1.0,20.0,0,732,0.9,0.9,,,,,,732,,,,,,-8.3,0.629,0,1019.6,1020.8,991.6,,-2.2,16.093,,,,,,,,,,,,,0,,,320,,4.1
2013.0,1.0,1.0,15.0,2013.0,1.0,1.0,21.0,0,,0,0,,,,,,,,,,,,-8.3,0.7141,0,1020,1021.2,991.9,,-3.9,16.093,,,,,,,,,,,,,0,,,310,,3.1
2013.0,1.0,1.0,16.0,2013.0,1.0,1.0,22.0,0,,0.25,0.25,,,,,,762,,,,,,-8.9,0.6813,0,1020.3,1021.2,992.2,,-3.9,16.093,,,,,,,,,,,,,0,,,340,,3.1
2013.0,1.0,1.0,17.0,2013.0,1.0,1.0,23.0,0,,0,0,,,,,,,,,,,,-9.4,0.7118,0,1020.3,1021.4,992.2,,-5,16.093,,,,,,,,,,,,,0,,,320,,2.1
2013.0,1.0,1.0,18.0,2013.0,1.0,2.0,0.0,0,,0,0,,,,,,,,,,,,-10,0.7382,0,1020.7,1021.9,992.6,,-6.1,16.093,,,,,,,,,,,,,0,,,320,,1.5
2013.0,1.0,1.0,19.0,2013.0,1.0,2.0,1.0,0,,0,0,,,,,,,,,,,,-11.7,0.6749,0,1021.3,1022.6,993.2,,-6.7,16.093,,,,,,,,,,,,,0,,,300,,1.5
2013.0,1.0,1.0,20.0,2013.0,1.0,2.0,2.0,0,,0,0,,,,,,,,,,,,-12.2,0.6737,0,1021.3,1022.6,993.2,,-7.2,16.093,,,,,,,,,,,,,0,,,290,,2.1
2013.0,1.0,1.0,21.0,2013.0,1.0,2.0,3.0,0,,0,0,,,,,,,,,,,,-13.3,0.6712,0,1021.3,1022.3,993.2,,-8.3,16.093,,,,,,,,,,,,,0,,,290,,3.1
2013.0,1.0,1.0,22.0,2013.0,1.0,2.0,4.0,0,,0,0,,,,,,,,,,,,-14.4,0.6428,0,1021,1022.2,992.9,,-8.9,16.093,,,,,,,,,,,,,0,,,290,,3.1
2013.0,1.0,1.0,23.0,2013.0,1.0,2.0,5.0,0,,0,0,,,,,,,,,,,,-14.4,0.7352,0,1021.3,1022.5,993.2,,-10.6,16.093,,,,,,,,,,,,,0,,,270,,3.1
