Year Local,Month Local,Day Local,Hour Local,Year UTC,Month UTC,Day UTC,Hour UTC,Cavok Reported,Cloud Ceiling (m),Cloud Cover Fraction,Cloud Cover Fraction 1,Cloud Cover Fraction 2,Cloud Cover Fraction 3,Cloud Cover Fraction 4,Cloud Cover Fraction 5,Cloud Cover Fraction 6,Cloud Height (m) 1,Cloud Height (m) 2,Cloud Height (m) 3,Cloud Height (m) 4,Cloud Height (m) 5,Cloud Height (m) 6,Dew Point (C),Humidity Fraction,Precipitation One Hour (mm),Pressure Altimeter (mbar),Pressure Sea Level (mbar),Pressure Station (mbar),Snow Depth (cm),Temperature (C),Visibility (km),Weather Code 1,Weather Code 1/ Description,Weather Code 2,Weather Code 2/ Description,Weather Code 3,Weather Code 3/ Description,Weather Code 4,Weather Code 4/ Description,Weather Code 5,Weather Code 5/ Description,Weather Code 6,Weather Code 6/ Description,Weather Code Most Severe / Icon Code,Weather Code Most Severe,Weather Code Most Severe / Description,Wind Direction (degrees),Wind Gust (m/s),Wind Speed (m/s)
2014.0,1.0,1.0,0.0,2014.0,1.0,1.0,6.0,0,1981,1,1,,,,,,1981,,,,,,-10.6,0.9094,0,1024.7,1026.2,996.5,,-9.4,4.828,,,,,,,,,,,,,0,,,40,,2.6
2014.0,1.0,1.0,1.0,2014.0,1.0,1.0,7.0,0,884,1,1,,,,,,884,,,,,,-10,0.917,0,1024.7,1026.1,996.5,,-8.9,3.219,,,,,,,,,,,,,0,,,80,,2.1
2014.0,1.0,1.0,2.0,2014.0,1.0,1.0,8.0,0,396,1,1,,,,,,396,,,,,,-10,0.917,0.5,1024.7,1026,996.5,,-8.9,1.609,,,,,,,,,,,,,0,,,80,,3.1
2014.0,1.0,1.0,3.0,2014.0,1.0,1.0,9.0,0,1189,1,0.5,1,,,,,884,1189,,,,,-10,0.917,0.3,1024.7,1026.1,996.5,,-8.9,11.265,,,,,,,,,,,,,0,,,90,,3.1
2014.0,1.0,1.0,4.0,2014.0,1.0,1.0,10.0,0,1341,1,1,,,,,,1341,,,,,,-10,0.917,0,1023.7,1025.3,995.5,,-8.9,6.437,,,,,,,,,,,,,0,,,80,,3.6
2014.0,1.0,1.0,5.0,2014.0,1.0,1.0,11.0,0,2896,0.9,0.9,0.9,,,,,2896,3658,,,,,-10,0.917,0,1024,1025.5,995.9,,-8.9,16.093,,,,,,,,,,,,,0,,,70,,4.1
2014.0,1.0,1.0,6.0,2014.0,1.0,1.0,12.0,0,,0.25,0.25,,,,,,2134,,,,,,-10.6,0.9535,0,1024,1025.6,995.9,,-10,16.093,,,,,,,,,,,,,0,,,60,,3.6
2014.0,1.0,1.0,7.0,2014.0,1.0,1.0,13.0,0,2438,1,1,1,,,,,2438,2591,,,,,-10.6,0.8743,0,1023.7,1025.3,995.5,,-8.9,16.093,,,,,,,,,,,,,0,,,60,,5.1
2014.0,1.0,1.0,8.0,2014.0,1.0,1.0,14.0,0,701,1,1,,,,,,701,,,,,,-10.6,0.8743,0,1024,1025.4,995.9,,-8.9,16.093,,,,,,,,,,,,,0,,,70,,7.2
2014.0,1.0,1.0,9.0,2014.0,1.0,1.0,15.0,0,671,1,1,,,,,,671,,,,,,-10.6,0.8342,0,1024.4,1025.7,996.2,,-8.3,16.093,,,,,,,,,,,,,0,,,70,,5.7
